match_id,game_duration,patch_version,queue_type,team,role,champion,win_loss,kills,deaths,assists,cs,cs_per_min,gold_earned,damage,vision_score,first_blood,game_review
5486945849,0:24:40,26.3,ranked,blue,top,Dr.Mundo,win,15,5,8,203,8.2,14609,28831,8,no,Late Bloomer
5486945849,0:24:40,26.3,ranked,blue,jungle,Diana,win,12,2,11,151,6.1,12186,22058,27,no,Unstoppable
5486945849,0:24:40,26.3,ranked,blue,mid,Vex,win,5,2,10,133,5.4,8460,18730,20,no,Late Bloomer
5486945849,0:24:40,26.3,ranked,blue,adc,Jinx,win,10,1,7,228,9.2,13573,29852,12,no,Unstoppable
5486945849,0:24:40,26.3,ranked,blue,support,Nami,win,0,2,25,14,0.6,7945,6698,29,no,Unstoppable
5486945849,0:24:40,26.3,ranked,red,top,Vayne,loss,4,10,3,146,5.9,9493,29556,13,no,Downfall
5486945849,0:24:40,26.3,ranked,red,jungle,Master Yi,loss,6,6,2,121,4.9,9871,18312,29,yes,Downfall
5486945849,0:24:40,26.3,ranked,red,mid,Galio,loss,2,6,4,160,6.5,8590,19269,10,no,Struggle
5486945849,0:24:40,26.3,ranked,red,adc,Kai'Sa,loss,0,9,1,181,7.3,8834,10328,12,no,Struggle
5486945849,0:24:40,26.3,ranked,red,support,Nautilus,loss,0,11,5,32,1.3,6272,8556,57,no,Struggle
5486958086,0:30:02,26.3,ranked,blue,top,Jayce,win,9,3,5,248,8.3,14440,32609,39,no,Average
5486958086,0:30:02,26.3,ranked,blue,jungle,Amumu,win,9,4,7,176,5.9,13041,19068,26,yes,Victor
5486958086,0:30:02,26.3,ranked,blue,mid,Dr.Mundo,win,6,12,8,207,6.9,12224,31448,13,no,Resilient
5486958086,0:30:02,26.3,ranked,blue,adc,Sivir,win,6,3,10,283,9.4,16791,25044,20,no,Unstoppable
5486958086,0:30:02,26.3,ranked,blue,support,Nami,win,2,5,15,34,1.1,9095,5945,61,no,Resilient
5486958086,0:30:02,26.3,ranked,red,top,Sett,loss,4,8,3,181,6,11170,17011,32,no,Struggle
5486958086,0:30:02,26.3,ranked,red,jungle,Master Yi,loss,12,7,8,211,7,14923,42365,33,no,Unlucky
5486958086,0:30:02,26.3,ranked,red,mid,Yasuo,loss,4,7,4,181,6,9861,21987,20,no,Struggle
5486958086,0:30:02,26.3,ranked,red,adc,Brand,loss,4,6,4,243,8.1,12543,27828,19,no,Struggle
5486958086,0:30:02,26.3,ranked,red,support,Leona,loss,3,4,14,25,0.8,8603,12478,43,no,Unlucky
5487018428,0:28:44,26.3,ranked,blue,top,Riven,win,18,6,7,203,7.1,18377,63384,16,no,Unstoppable
5487018428,0:28:44,26.3,ranked,blue,jungle,Amumu,win,0,9,17,129,4.5,9058,10139,13,no,Resilient
5487018428,0:28:44,26.3,ranked,blue,mid,Aurelion Sol,win,5,9,10,184,6.4,12568,19244,33,no,Resilient
